pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-01-06	Incremental Object Grounding Using Scene Graphs	<i>Preprint</i>		Yoonwoo Kim, John Seon Keun Yi, Sonia Chernova. (2022). "Incremental Object Grounding Using Scene Graphs." <i>arXiv</i>. 1(1).	paper-title-number-1	https://arxiv.org/abs/2201.01901
2023-01-13	Task Planning in Factor Graph Representation	MS Thesis, Georgia Institute of Technology	Committee: Frank Dellaert, Matthew Gombolay, Danfei Xu	Yoonwoo, Kim. (2023). "Task Planning in Factor Graph Representation." <i>Georgia Institute of Technology</i>.		http://ywkim0606.github.io/files/Yoonwoo_thesis.pdf
